bin_index,lower_bound,upper_bound,pixel_count,pixel_fraction,mean_confidence,empirical_water_frequency,absolute_calibration_gap
0,0.0,0.06666666666666667,2923798,0.5148695585410504,0.006439723453489099,0.03452495692246865,0.028085233468979554
1,0.06666666666666667,0.13333333333333333,190037,0.03346478323621044,0.09658341306938967,0.2071333477164973,0.11054993464710763
2,0.13333333333333333,0.2,120274,0.021179787825275995,0.16487085910851204,0.26639173886292966,0.10152087975441762
3,0.2,0.26666666666666666,93182,0.01640899104656757,0.23239907650098515,0.3180871842201283,0.08568810771914318
4,0.26666666666666666,0.3333333333333333,78609,0.013842741915602048,0.2991357655575494,0.35728733351143,0.0581515679538806
5,0.3333333333333333,0.4,69646,0.012264392161890117,0.3661817890220626,0.3939637595841829,0.027781970562120284
6,0.4,0.4666666666666667,62188,0.010951067107423579,0.4327215592858453,0.42210715893741557,0.010614400348429753
7,0.4666666666666667,0.5333333333333333,57603,0.01014366627948994,0.4998074056431562,0.4504279291009149,0.049379476542241285
8,0.5333333333333333,0.6,55940,0.009850818389227424,0.5666541966724532,0.4832320343224884,0.0834221623499648
9,0.6,0.6666666666666666,56819,0.010005606901278387,0.633481128514049,0.5155845755821116,0.11789655293193746
10,0.6666666666666666,0.7333333333333333,59294,0.010441444861831442,0.7004990762671793,0.5570209464701319,0.14347812979704744
11,0.7333333333333333,0.8,65202,0.011481820890497077,0.7673180399853439,0.6119750927885648,0.1553429471967791
12,0.8,0.8666666666666667,77781,0.013696934306980662,0.8347220346474322,0.6865172728558389,0.14820476179159336
13,0.8666666666666667,0.9333333333333333,115162,0.02027958432857005,0.9029697424657699,0.7861100015630156,0.1168597409027543
14,0.9333333333333333,1.0,1653181,0.29111880220810477,0.9944094627246056,0.979137795558986,0.015271667165619673
