image_id,split,image_path,mask_path,prediction_path,width,height,threshold,model_forward_latency_ms,tp,fp,fn,tn,iou,dice,precision,recall,specificity,pixel_accuracy,balanced_accuracy,mcc,cohen_kappa,water_fraction,predicted_water_fraction,water_fraction_error,target_has_water,prediction_has_water,empty_mask_correct,empty_mask_false_positive,empty_policy,boundary_precision,boundary_recall,boundary_f1,boundary_iou,hd95,assd
water_body_1002,test,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1002.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1002.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_1002.png,374,176,0.45,16.90087127685547,12413,2377,5417,45617,0.6142920770030188,0.7610668301655427,0.8392832995267072,0.6961862030286035,0.9504729757886402,0.881593339815265,0.8233295894086219,0.6885424173781948,0.6832679613990029,0.27087384540593096,0.2246900826446281,-0.04618376276130287,True,True,False,False,perfect_if_both_empty,0.9568403908794788,0.48988273166245117,0.648001787135909,0.14588041914937333,36.40054944640259,7.170057175854959
water_body_1015,test,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1015.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1015.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_1015.png,165,280,0.45,16.90087127685547,19679,1535,809,24177,0.8935658175543749,0.9437916646683612,0.9276421231262374,0.9605134713002733,0.9403002489110143,0.9492640692640693,0.9504068601056438,0.898034568732979,0.8975826320432823,0.44346320346320345,0.4591774891774892,0.015714285714285736,True,True,False,False,perfect_if_both_empty,0.9478114478114478,0.5055704955820207,0.6594075364243303,0.07389989922741015,44.17236153590203,8.497871781105898
water_body_1018,test,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1018.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1018.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_1018.png,390,620,0.45,16.90087127685547,30178,2486,1837,207299,0.8746992840787223,0.9331622319454537,0.9238917462650013,0.9426206465719195,0.9881497723860142,0.98212158808933,0.9653852094789668,0.9229059787905894,0.9228440632525545,0.13240281224152192,0.13508684863523573,0.0026840363937138123,True,True,False,False,perfect_if_both_empty,0.7789921068609593,0.7255980861244019,0.7513476885327898,0.0959187511754749,29.574345366151952,9.776591324152289
water_body_1024,test,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1024.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1024.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_1024.png,68,91,0.45,16.90087127685547,2569,89,689,2841,0.7675530325664774,0.8684922244759973,0.9665161775771257,0.7885205647636587,0.9696245733788396,0.8742727860374919,0.8790725690712491,0.7647101655087416,0.7504098777106574,0.52650290885585,0.429541047188106,-0.09696186166774406,True,True,False,False,perfect_if_both_empty,1.0,0.57801766437684,0.7325870646766168,0.21284403669724772,19.0,3.326922937391206
water_body_1028,test,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1028.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1028.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_1028.png,322,487,0.45,16.745847702026367,17792,3092,4643,131287,0.6969875034277432,0.8214409381564671,0.851944072016855,0.7930465790060174,0.9769904523772316,0.9506740469600928,0.8850185156916245,0.7935528390491394,0.792868091889169,0.1430675832514954,0.1331768847169258,-0.009890698534569614,True,True,False,False,perfect_if_both_empty,0.9852647352647352,0.6869062370921107,0.8094680544374695,0.23237597911227154,19.026297590440446,3.3360319262665676
water_body_1030,test,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1030.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1030.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_1030.png,112,181,0.45,16.745847702026367,10831,1304,765,7372,0.8396124031007752,0.9128144620959926,0.8925422332097239,0.9340289755087962,0.8497003227293684,0.897938042620363,0.8918646491190823,0.7910936691725834,0.7899079017826856,0.5720205209155486,0.5986089187056038,0.026588397790055285,True,True,False,False,perfect_if_both_empty,0.9632286995515695,0.7055288461538461,0.8144809708586093,0.2533842415827838,5.0,1.5152831502977275
water_body_1059,test,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1059.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1059.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_1059.png,155,236,0.45,16.745847702026367,12898,1694,1003,20985,0.8270599551138186,0.9053451724985084,0.8839089912280702,0.9278469174879506,0.9253053485603422,0.926271186440678,0.9265761330241464,0.8456900991928271,0.8450231691448076,0.3800164024056862,0.39890650628758884,0.018890103881902653,True,True,False,False,perfect_if_both_empty,0.9814814814814815,0.5209416080709264,0.6806265755768165,0.07783278327832784,17.0,4.125488763313528
water_body_1061,test,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1061.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1061.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_1061.png,415,628,0.45,16.745847702026367,260620,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,True,True,False,False,perfect_if_both_empty,1.0,1.0,1.0,1.0,0.0,0.0
water_body_1070,test,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1070.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1070.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_1070.png,131,197,0.45,16.740007400512695,5784,825,575,18623,0.8051224944320713,0.892041949413942,0.8751702224239674,0.9095769775121875,0.957579185520362,0.9457511527880033,0.9335780815162747,0.8561174137522389,0.8558336695836416,0.2464060138722052,0.25609330801720465,0.009687294144999442,True,True,False,False,perfect_if_both_empty,0.9788583509513742,0.7228158390949089,0.8315743688616826,0.1043338683788122,5.0990195135927845,1.883731944138296
water_body_1084,test,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1084.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1084.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_1084.png,148,242,0.45,16.740007400512695,15677,1066,2916,16157,0.7974464621801719,0.8873103916685533,0.9363316012662009,0.8431667831979778,0.9381060210184056,0.8888206388206388,0.8906364021081916,0.7823583091213346,0.7781932243323773,0.5191255304891669,0.46747263792718335,-0.05165289256198352,True,True,False,False,perfect_if_both_empty,0.9782372143634385,0.4574308385159768,0.6233695433095848,0.09860263727612675,41.6293165929973,8.258751196581523
