bin_index,lower_bound,upper_bound,pixel_count,pixel_fraction,mean_confidence,empirical_water_frequency,absolute_calibration_gap
0,0.0,0.06666666666666667,2057470,0.5171190906815164,0.006286937518248404,0.030183186146092045,0.02389624862784364
1,0.06666666666666667,0.13333333333333333,129110,0.03245016734041837,0.09662386164220368,0.20442258539230113,0.10779872375009744
2,0.13333333333333333,0.2,81897,0.02058377627355157,0.1648955770163594,0.26604149114131165,0.10114591412495225
3,0.2,0.26666666666666666,63835,0.016044120766599074,0.23239583139287154,0.3157358815696718,0.08334005017680027
4,0.26666666666666666,0.3333333333333333,53979,0.013566939686069576,0.29910584040937555,0.3577131847570351,0.05860734434765957
5,0.3333333333333333,0.4,47951,0.012051878043067161,0.3661169736936655,0.39171237304748596,0.025595399353820436
6,0.4,0.4666666666666667,42771,0.010749950486538873,0.4327174938211983,0.42117322484861236,0.011544268972585925
7,0.4666666666666667,0.5333333333333333,39559,0.009942654866544885,0.4997966780803928,0.45084557243610807,0.04895110564428473
8,0.5333333333333333,0.6,38609,0.00970388436872599,0.5666291141535328,0.4808464347690953,0.08578267938443751
9,0.6,0.6666666666666666,39239,0.009862226909384837,0.6335508922191536,0.5176482581105533,0.11590263410860036
10,0.6666666666666666,0.7333333333333333,41253,0.010368420364760893,0.700482486814504,0.5606622548663127,0.13982023194819126
11,0.7333333333333333,0.8,45271,0.011378293901851752,0.7673189032188649,0.6209273044553909,0.14639159876347396
12,0.8,0.8666666666666667,53768,0.01351390750181717,0.8346958575508918,0.6979244160095224,0.13677144154136944
13,0.8666666666666667,0.9333333333333333,80422,0.02021305365851697,0.9030265270402231,0.7998433264529606,0.10318320058726249
14,0.9333333333333333,1.0,1163582,0.29245163515063655,0.9944421825964077,0.9832817970714569,0.0111603855249508
