left_image_id,left_split,right_image_id,right_split,hamming_distance
water_body_1030,test,water_body_1250,train,4
water_body_1030,test,water_body_8702,train,3
water_body_1059,test,water_body_1064,train,4
water_body_1059,test,water_body_1304,train,3
water_body_1059,test,water_body_1339,train,4
water_body_1059,test,water_body_1505,train,1
water_body_1061,test,water_body_678,train,4
water_body_1061,test,water_body_7298,train,4
water_body_1061,test,water_body_8565,train,4
water_body_1061,test,water_body_8765,train,3
water_body_1084,test,water_body_2388,train,3
water_body_1084,test,water_body_924,train,4
water_body_1160,test,water_body_1218,train,4
water_body_1160,test,water_body_1272,train,3
water_body_1160,test,water_body_1533,train,4
water_body_1160,test,water_body_6398,train,3
water_body_1283,test,water_body_1086,train,4
water_body_1283,test,water_body_7964,train,3
water_body_1283,test,water_body_834,train,3
water_body_1286,test,water_body_1086,train,3
water_body_1286,test,water_body_1373,train,4
water_body_1286,test,water_body_7964,train,2
water_body_1286,test,water_body_834,train,2
water_body_1286,test,water_body_8635,train,4
water_body_1326,test,water_body_826,train,4
water_body_1371,test,water_body_1562,train,3
water_body_1371,test,water_body_2370,train,2
water_body_1371,test,water_body_2479,train,1
water_body_1371,test,water_body_7236,train,4
water_body_1371,test,water_body_8027,train,3
water_body_1371,test,water_body_8837,train,2
water_body_1418,test,water_body_8418,train,4
water_body_15,test,water_body_1698,train,1
water_body_15,test,water_body_2176,train,0
water_body_15,test,water_body_691,train,4
water_body_15,test,water_body_7785,train,4
water_body_15,test,water_body_968,train,4
water_body_1552,test,water_body_1023,train,0
water_body_1552,test,water_body_1244,train,0
water_body_1552,test,water_body_1333,train,0
water_body_1552,test,water_body_1659,train,0
water_body_1552,test,water_body_2312,train,0
water_body_1552,test,water_body_608,train,0
water_body_1552,test,water_body_636,train,0
water_body_1552,test,water_body_810,train,0
water_body_1552,test,water_body_8378,train,0
water_body_1552,test,water_body_8465,train,0
water_body_1552,test,water_body_8739,train,0
water_body_1552,test,water_body_8789,train,0
water_body_1553,test,water_body_2419,train,2
water_body_1553,test,water_body_634,train,2
water_body_1621,test,water_body_1676,train,4
water_body_1621,test,water_body_605,train,3
water_body_1621,test,water_body_808,train,3
water_body_1665,test,water_body_1029,train,4
water_body_1669,test,water_body_7220,train,3
water_body_1669,test,water_body_8821,train,4
water_body_1678,test,water_body_2419,train,1
water_body_1678,test,water_body_634,train,1
water_body_1809,test,water_body_1161,train,4
water_body_1809,test,water_body_1218,train,3
water_body_1809,test,water_body_1272,train,4
water_body_2,test,water_body_2352,train,4
water_body_2190,test,water_body_1698,train,2
water_body_2190,test,water_body_2176,train,1
water_body_2190,test,water_body_7785,train,3
water_body_2190,test,water_body_968,train,3
water_body_665,test,water_body_1698,train,3
water_body_665,test,water_body_2176,train,2
water_body_665,test,water_body_2468,train,4
water_body_665,test,water_body_691,train,2
water_body_7052,test,water_body_1023,train,0
water_body_7052,test,water_body_1244,train,0
water_body_7052,test,water_body_1333,train,0
water_body_7052,test,water_body_1659,train,0
water_body_7052,test,water_body_2312,train,0
water_body_7052,test,water_body_608,train,0
water_body_7052,test,water_body_636,train,0
water_body_7052,test,water_body_810,train,0
water_body_7052,test,water_body_8378,train,0
water_body_7052,test,water_body_8465,train,0
water_body_7052,test,water_body_8739,train,0
water_body_7052,test,water_body_8789,train,0
water_body_7056,test,water_body_1226,train,1
water_body_7056,test,water_body_1662,train,2
water_body_7056,test,water_body_2364,train,3
