image_id,split,experiment,prompt_mode,status,image_path,mask_path,prediction_path,probability_path,threshold,tp,fp,fn,tn,iou,dice,precision,recall,specificity,pixel_accuracy,balanced_accuracy,mcc,cohen_kappa,boundary_precision,boundary_recall,boundary_f1,boundary_iou,hd95,assd,water_fraction,predicted_water_fraction,latency_ms
water_body_1,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1.png,0.5,258099,99614,682391,2991959,0.24814730065454993,0.3976250247457447,0.7215253569202126,0.2744303501366309,0.9677788620873581,0.8060533776381966,0.6211046061119945,0.3602465895251827,0.30877244861763953,0.6624983311824129,0.046692897614432224,0.08723730777131188,0.009189344386728006,202.63566894531178,63.348297119140625,0.23325280383763844,0.08871711577919293,7.602432000112458
water_body_10,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_10.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_10.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_10.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_10.png,0.5,20180,4525,11643,27408,0.5551887311543964,0.7139824511746391,0.8168386966201174,0.6341325456430883,0.8582970594682616,0.7464081811907899,0.746214802555675,0.5053893269489084,0.492619385499922,0.9399505475097139,0.3361054247697032,0.49515457769291354,0.06660889659156558,21.37829761505127,6.334256172180176,0.49913733609385785,0.38749294184076793,7.602432000112458
water_body_100,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_100.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_100.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_100.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_100.png,0.5,180829,3720,4360,132011,0.957228083362889,0.9781466876545013,0.9798427517894976,0.976456484996409,0.9725928490912172,0.9748223856412813,0.9745246670438131,0.9484600565600997,0.948452150698871,0.9434171597633136,0.5705296876787553,0.7110520404596143,0.11116504854368932,23.393798828125,4.72281551361084,0.5770565873114795,0.5750623208276205,7.602432000112458
water_body_1003,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1003.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1003.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1003.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1003.png,0.5,382933,16205,28689,227328,0.8950650613448894,0.9446272633085007,0.9594000070151176,0.9303025591440691,0.9334587099078975,0.9314757576451375,0.9318806345259834,0.8555117614117654,0.854814248943418,0.8838439497465286,0.1851109453663994,0.30611055684752364,0.03827803554232689,107.4976806640625,29.415287017822266,0.6282818569651456,0.6092268241866429,7.602432000112458
water_body_1004,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1004.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1004.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1004.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1004.png,0.5,76838,3915,2310,79937,0.9250568845334264,0.9610696618532717,0.951518829021832,0.9708141709203012,0.9533105948576063,0.9618098159509203,0.9620623828889537,0.9237786671897513,0.9235994231570507,0.9124472573839663,0.47551401869158877,0.6252068695022431,0.09238053292226382,21.393798828125,5.41955041885376,0.48557055214723926,0.49541717791411044,7.602432000112458
water_body_101,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_101.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_101.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_101.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_101.png,0.5,11312,877,839,3100,0.868283696653362,0.9294987674609696,0.9280498810402822,0.9309521850053494,0.77948202162434,0.8936011904761905,0.8552171033148447,0.7127391931490047,0.7127247708656115,0.9708994708994709,0.5949021392808375,0.737756518462408,0.12882262996941896,11.393798828125,2.8578600883483887,0.7534102182539683,0.7557663690476191,7.602432000112458
water_body_1010,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1010.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1010.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1010.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1010.png,0.5,88928,2818,2589,42025,0.9426829914665819,0.9704959539023152,0.969284764458396,0.9717101740660206,0.9371585308743839,0.9603476092695805,0.9544343524702023,0.9100603977807605,0.9100537944094899,0.90625,0.5111787072243346,0.6536564429109369,0.11263297872340426,24.1968994140625,5.165044784545898,0.6711425638017013,0.6728219419184511,7.602432000112458
water_body_1011,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1011.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1011.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1011.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1011.png,0.5,38671,1670,3413,74806,0.8838277643186908,0.9383318168031544,0.9586029101906249,0.9189002946487976,0.9781630838432972,0.9571271929824562,0.9485316892460474,0.9059719597060184,0.9054961288765013,0.9709521247982786,0.5746929892740557,0.722027810862934,0.1254071661237785,12.1968994140625,3.290536403656006,0.3549595141700405,0.3402580971659919,7.602432000112458
water_body_1014,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1014.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1014.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1014.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1014.png,0.5,38541,2097,1678,15959,0.9107902448246527,0.9533126383615519,0.9483980510851912,0.958278425619732,0.8838613203367301,0.9352209352209352,0.9210698729782311,0.8476802244923559,0.8475588767903443,0.8233851185609158,0.5701275045537341,0.673742734934943,0.1366381479617514,21.0,4.591981410980225,0.6901587301587302,0.6973487773487773,7.607815124629269
water_body_1019,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1019.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1019.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1019.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1019.png,0.5,22293,5006,1467,5884,0.77497740387958,0.8732250925400027,0.8166233195355141,0.9382575757575757,0.5403122130394857,0.8131890331890332,0.7392848943985307,0.5434202980826914,0.5247559852573771,0.9447154471544715,0.22629176177630214,0.36512383746821236,0.05197947923724712,40.3782958984375,13.059199333190918,0.6857142857142857,0.7878499278499278,7.607815124629269
