slice_dimension,slice_value,images,iou,dice,precision,recall,boundary_f1
water_coverage_slice,0-10%,41,0.46265948022694137,0.6036695546505894,0.6492306870827442,0.643371399609308,0.6554200545660337
water_coverage_slice,10-25%,100,0.6993408039609377,0.8120677044485578,0.8463294872492847,0.7991058610021614,0.6564012035425292
water_coverage_slice,25-50%,160,0.7520538854480068,0.8483831188053358,0.8815168943024034,0.8299423048502245,0.6343014126687436
water_coverage_slice,50-75%,84,0.7863681678692303,0.8748402824066981,0.8993167451647275,0.8650115117719841,0.6385439640311842
water_coverage_slice,75-100%,36,0.8623220580471849,0.9024193430867025,0.9614089872065139,0.8816609254650192,0.7905461196870304
image_size_slice,small,140,0.6915971737564823,0.7991094216577891,0.8325304307715455,0.7917775258877345,0.7230238009410979
image_size_slice,medium,140,0.7412030380048507,0.8366401828259613,0.8678996049074459,0.8297664465150506,0.6762835835345472
image_size_slice,large,141,0.7499165340511121,0.8416117492194505,0.8821789724958745,0.8259871377973841,0.5687580714838408
topology_slice,multiple_components,405,0.7168648418464035,0.8189437068337471,0.8554257780666104,0.808593438434126,0.6422170911254613
topology_slice,single_component,16,1.0,1.0,1.0,1.0,1.0
boundary_complexity_slice,low,140,0.8740932365917798,0.9262722632286507,0.9437018078782456,0.9207155816698691,0.6500718965629327
boundary_complexity_slice,medium,141,0.7583537743292625,0.8580096032439964,0.8916558584630762,0.8397497963732939,0.6475601248787546
boundary_complexity_slice,high,140,0.5502094688894159,0.6929623597018069,0.7471836497909213,0.6869674274528924,0.669870562707835
